1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9/20: HL - JZ to get update from RS,,,,Hear Zip code menu,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9/20: RS - Working on it,,,,do max NI/NM at zip code prompt,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9/19: ERM - JZ to investigate,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Check cyara results in brlow link:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,https://www.cyaraportal.us/cyarawebportal/905/report/resultdetails?mediaType=1&testResultId=649568415,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,https://www.cyaraportal.us/cyarawebportal/905/report/resultdetails?mediaType=1&testResultId=649545898,,,,,,,,,,,,,,,,,,,
,FPSC ,Cellphone,211,Want to confirm that module would not attempt to update cell phone consent if 'E' currently already on file,Would not ask for consent if 'E' is already in phone indicator field ,,Inquiry Closed,,,,,9/19/2024,,,9/19: SS - confirmed w/ 1Voice based on VUI and closed inquiry,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FPSC,Main Menu,212,DGR F condition: code is different than the VUI/visio (DGRIncomeCollMonths variable in the code condition instead of DGRPaymentDueDaysY in VUI/visio condition),DGR F should pass if the VUI condition is getting fulfilled,"Test case failing, potentially because the code has DGRIncomeColMonths instead of DGRPaymentDueDaysY)",Closed,High,2,Build,Test,9/19/2024,9/25/2024,6,"9/25: DNR: Working as expected, closing the defect",,TC_51,,"After setting TCcard to F priority and condition DGRPaymntDueDaysX and DGRPaymntDueDaysY fields, instead of playing 12050 prompt system is playing 1950 prompt directly",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9/24: DNR- After 233 defect gets fixed we will retest,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9/23: HL - Deepthi should be ready to retest this 09/24,,,,Test data:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"9/23: DNR: Megha is working with 1voice team on Store payment setting. Once data is ready, we can retest",,,,Acc num- ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9/20 : DNR : Waiting for test data,,,,SSN- ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"9/20:SR - In the latest interaction, T66 endpoint responded back - T66_StorePmtInPrev12Months as N and hence it didnt go to 12100 menu. Please use some other test data.                                                        9/20: DNR - DGR Prompt is not getting played, directly we hear 1950 prompt",,,,Ph num- ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9/19: SR - Ready for retest.                                                                             9/19: ERM - JZ to investigate,,,,DNIS- ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
